pessoas públicas não devem ter medo de expor sua posição política c medo de gerar contenda com seus fãs. A verdade é q a democracia existe pra ser respeitada sem levar pro lado pessoal. E não posso deixar de levantar a #pois cansei de 8 anos com PT # MudaBrasil17 @ jairbolsonaro;1;
Os valores da família empurram a candidatura de Bolsonaro http://noticias.r7.com/prisma/coluna-do-fraga/os-valores-da-familia-empurram-a-candidatura-de-bolsonaro-28092018 …;
Tenhamos um domingo abençoado, a mudança começou, o gigante acordou, com a benção de Deus vamos as urnas eleger o messias Jair Bolsonaro presidente 17, a mudança é agora, que Deus nos abençoe.;1;
Esperando a matéria no JN tbm sobre Bolsonaro, até agora são quase 20min falando só do PT....;1;
# AmanhaBolsoDoria DATAFOLHA (votos válidos) Jair Bolsonaro: 55% Fernando Haddad: 45% # AcabouaPiranhagemPThttps://twitter.com/jdoriajr/status/1056326329975668737 …;1;
Pq vcs gostam de se iludir tanto? Confiar numa pesquisa CUT? A mesma que deu 2% a mais pro andrade e 6% a menos pro bolsonaro no 1º turno?;1;
Já viraram todas @ jairbolsonaro https://twitter.com/Marcelodedois/status/1055935975128514560 …;1;
Amanhã Bolsonaro Presidente do Brasil # AcabouaPiranhagemPThttps://twitter.com/bolsonaropb/status/1056313515064152064 …;1;
Show do Roger Waters em Curitiba. Um monte de gente com camiseta do Brasil e Bolsonaro. Brasil 2018.;1;
Gostei de um vídeo @ YouTube http://youtu.be/-ApIMA_FQHQ?aAO  VIVO: BOLSONARO FAZ ÚLTIMO PRONUNCIAMENTO PARA O BRASIL ÀS VÉSPERAS DO 2º;1;
DataFolha já perdeu a credibilidade há tempos. O objetivo dessa pesquisa nada mais é do que criar uma falsa oposição do povo a política de Bolsonaro.;1;
Ibope e data folha entrevista 3.000 pessoas no sertão da Paraíba ...kkkkkkkkkk vem aqui em São Paulo, Rio grande do sul, Minas gerais, Santa Catarina, fazer as pesquisas..;1;
No seu caso vc vota no PT por causa dos dólares q tu recebe pelo YouTube. Chega e fala a verdade p/ seu público. Caso bolsonaro entrar o dólar cai e vc toma no cu pic.twitter.com/lVAsnbsWOE;
é sim, mas ele não tá fazendo campanha pra ninguém. está só se manifestando contra o fascismo e bolsonaro. nem menciona o nome do haddad;0;
a única youtuber que acredito ter feito uma argumentação sincera, não caluniosas e coerente contra o bolsonaro nessa reta final foi a @ joutfuckinjout ela foi pro campo social que é onde tem matéria de sobra pra vc criticar ele sem usar falácias clássicas como a pec;
Está bem. Mas se você tiver pensando duas vezes, ainda dá tempo de votar pela democracia. Eu nem sou petista mas Bolsonaro não dá, e representa fascismo, retrocesso, ditadura, preconceito e violência, tudo que não precisamos... # pas.;0
Nossa opinião: Bolsonaro é o pior que nos pode acontecer @ congemfocohttps://congressoemfoco.uol.com.br/opiniao/editorial/nossa-opiniao-bolsonaro-e-o-pior-que-nos-pode-acontecer/ …;0;
MAS SÓ ELE FAZ CAMPANHA GENTE kkk vai falar o que de Bolsonaro? Que ele foi do quarto a cozinha da casa dele????;
O tsunami já recomeçou na Nova Zelândia, Australia e Japão... Os amigos que se dispuserem a divulgar fotos os boletins das urnas encerradas no exterior, fiquem à vontade.;
Que assim seja;
Assistindo o jornal nacional agora e quase vomitando com uma matéria ridícula total imparcial pró Haddad;1;
Amém! Vamos passar o dia 28 inteiro em espírito de oração clamando a Deus por misericórdia sobre a nação brasileira. Deus nos abençõe.;
O Bolsonaro não teve agenda, eu acho;
I liked a @ YouTube video http://youtu.be/R3GyYR2_PyY?a  NOSSA ÚNICA CHANCE É ELEGER BOLSONARO PRESIDENTE. EM SÃO OU É DÓRIA OU O PT;1;
É especial do Haddad na Globo. Hoje ??? Pqp que palhaçada !!!;
MANO, OS CARAS TAO FAZ 10 MINUTOS COM ESSA FRESCURA. VAMOS VER QUANTO TEMPO VAI DAR PRA BOLSONARO;
Amanhã e 17 na cabeça!! # BolsonaroPresidente;1;
Parabéns ao @ jornalnacional pelo tempo de reportagem do @ Haddad_Fernando isso mostra o quanto estão preocupados com a vitória de @ jairbolsonaro sempre;
@ jairbolsonaro prometeu desenvolvimento para o Nordeste. Haddad 1 botijão de gás.;
E os videos que cansamos de assistir aqui onde o pesquisador do DataFolha se recusa a entrevistar quem é eleitor de Bolsonaro? Essas duas agências deveriam DEIXAR de existir. Amanhã quero o @ MauroPaulino se explicando aqui. Êta cara de psicopata....kkkkpic.twitter.com/uhx3dDiBhG;
eu to é arrependido de nao ter comprado açoes da taurus esse fim de semana, se o bolsonaro ganhar vai da uma subida bonita;
Só da pt no JN hoje? Qt tempo e a mesma docura dedicarão ao Bolsonaro?;
Uma pessoa tão inteligente como vc, achando que com o PT teremos democracia, de democrata esse partido não tem nada. Com seu último vídeo falando de Fake News da política, q vc só falou dos do Bolsonaro, mas do Haddad não, já era de se esperar, vc sempre foi petista "encubado" .;
# GNEleicoes2018 busca-se explicação dos votos do Haddad nas declarações da equipe Bolsonaro. Entretanto o Ibope mostra que 80% do crescimento está naqueles que ganham até 2 salários mínimos, então a promessa de gás a 49 reais e aumento de 20% no sal.min. não seria a causa real?;
Não.sao os eleitores do Bolsonaro q são violentos?;
Fato!!!!;
Bolsonaro com 60%;
# JoaquimBarbosa disse que se preocupa com Bolsonaro e vai votar no # postedelula. Pois eu me preocupo com um ex-ministro do # stf votar num sujeito com mais de 30 processos.;
Bolsonaro fecha com 58,4%;
Concordo plenamente;
me arrependi gente. não troco o Haddad é nunca por esse projeto de Marina Silva. quer bancar o isentão em pleno segundo turno contra o Bolsonaro? mereceu perder mesmo. vlw flw.;
@ jairbolsonaro 100% Bolsonaro;
PODRIDÃO UMA EMISSORA PUXAR PARA UM CANDIDATO..NÃO ADIANTA O POVO TÁ COM BOLSONARO..FORA PT;
Ele não quer perder a mamata do YouTube que gera em dólar por mês milhões de reais em sua conta bancária. Vá pesquisar pra ver. O dólar já baixou hoje ... se Bolsonaro ganhar vai baixar mais ainda. Com o país na lama o dólar só tende a subir ..;
Inteligente é o Bolsonaro que não sabe falar "psicológico" e o filho que escreve "posso";
EU VOU MAIS ALÉM BOLSONARO 62% FÁCIL https://twitter.com/lsentoes/status/1056329773666967553 …;
Ibope: Jair Bolsonaro registra 54% dos votos válidos e Haddad, 46% https://www.cartacapital.com.br/politica/ibope-jair-bolsonaro-registra-dos-votos-validos-e-haddad … via @ cartacapital;
# Globolixo fazendo JN inteiro de propaganda pro tal! Fala serio!!!! @ roxmo @ joicehasselmann @ republica_ctba @ lobaoeletrico @ CarlosBolsonaro @ jairbolsonaro;
Quando o Bolsonaro ganhar, a primeira porra q ele fizer eu vou dizer EU AVISEI;
ah vai a merda porra;
Quase 10 milhões de voto de diferença que animação. kkkkkkkkk Vamos falar sério. A poucas horas das eleições, salvo erro grosseiro de todos os institutos de pesquisa, está encaminhado: Jair Bolsonaro será eleito presidente da República.;
A partir de janeiro, esse merda virará uma bonequinha para justificar essa “brabeza” GAZELINHA.;
globo mostrando a semana de haddad: mil coisas campanha do bolsonaro: to com bolsa de cocô aqui talkei;
Datafolha: Jair Bolsonaro tem 55% contra 45% de Fernando Haddad - https://bit.ly/2Jl9LFm pic.twitter.com/XNCersT64F;
PF desmonta grupo petista que planejava ato violento após vitória de Bolsonaro https://republicadecuritiba.net/2018/10/27/pf-desmonta-grupo-petista-que-planejava-ato-violento-apos-vitoria-de-bolsonaro/ …;
Bom eu não me incluo nesse "vocês" primeiramente pq ultima vez que ele foi candidato pra presidente eu tinha apenas 4 anos de idade, segundo não sou petista, vou votar no PT pq acho menos pior que o bolsonaro, mas continuo achando ruim,;
A resposta dele não merece ser reproduzida em sua integralidade, mas nela havia frases como "Bolsonaro não vai ser a salvação da pátria não, vai roubar sim, mais vai mudar muita coisa" (desfazendo todo argumento inicial dele que era o de pt, e Joaquim Barbosa, corruptos);;
deus me livre meu teste deu sonserina bolsonaro ia era ser expulso de hogwarts;
Caraca tu falou o plano de governo do Bolsonaro;
Força Presidente ! Vergonhoso o tempo dispensado que a Globo está dando ao haddad. Lamentável !;
Mas é o Bolsonaro que é ditador.!!! # AcabouaPiranhagemPT # MudaBrasil17https://twitter.com/odiodobem2/status/1056295611367112704 …;
uns jovens do shalom pararam eu, nicolas, o pai dele, a madastra para convisar a gente a participar aí passou um cara bebo do lado perguntando se a gente vontava em bolsonaro eu e nicolas ficamos calados e todo o resto disse q sim esse povo de deus tá mto mal encaminhado;
Olha isso, @ lobaoeletrico @ jairbolsonaro @ roxmo ! Ainda tem gente que vota nessa Quadrilha! # MudaBrasil17https://twitter.com/NicolasMaduro/status/1056216843516592128 …;
Segundo o Jornal Nacional, Fernando Haddad tem mais de 3 milhões e meio de seguidores em suas redes sociais. Jair Bolsonaro está quase batendo os 8 milhões apenas no Facebook, mais de 2 milhões no Instagram e quase 2 milhões no Twitter.;
Ele num desautorizou porra nenhuma, aquilo é documento público, autos de processo e ele pode é estrebuchar, mas falou. E Bolsonaro nunca foi inocentado no Mensalão, pq nunca foi parte!! Mas Joaquim Barbosa o mencionou como exemplo de deputado que não foi comprado!! Fato.;
Gostei de um vídeo @ YouTube http://youtu.be/_xPARLGhhBU?aGOVERNO … BOLSONARO. ADVOGADO DÁ A REAL SOBRE O PT: "AGORA VÃO ENFRENTAR CADA UM;
Presidente, não queira coerência de esquerdista, é incompatível.;
Acabei de ouvir aqui no ônibus que o cara disse pra namorada q votou no Amoedo no primeiro turno, pq se ela soubesse q ele apoia o bolsonaro ela ia brigar com ele;
Tá conversando besteira de votar em bolsonaro ele não gosta de mulher de sapatão nem de viado por isso eu sou mais humilde eu vou votar em HADDAD HADDAD HADDAD HADDAD;
Margem de erro 10% pra cima para Jair Bolsonaro, 10% pra baixo de Haddad # MudaBrasil17;
Abre logo o seu voto para o PT, que palhaça, sempre querendo diminuir a vantagem do @ jairbolsonaro vão ter que nos engolir!!!! Vamos acabar cor essa teia de corrupção do PT que atinge todas as mídias! # AcabouaPiranhagemdoPT;
Eu sou fã de Ivete e acredito que ela não precise dizer que é contra Bolsonaro e tudo que ele prega, pq isso fica explícito em todas suas falas. Falas como "nossa arma deve ser o amor" já esclarece tudo;
64x36 Bolsonaro Presidente do Brasil;
Fico MT decepcionada qnd vejo q meus pais votam no bolsonaro;
Bolsonaro 54% com margem de erro de 10 pontos para mais # AcabouaPiranhagemPT;
@ IBOPE_In Fake! Atuam na margem de erro, conheço estatística e vcs pesam a mão na margem de erro pra baixo pro Bolsonaro e amanhã vão desfazer na boca de urna.;
foi vc.... a culpa é toda sua.... vc realmente fez isso... obrigado Iozzi...;
meu pai tá viciado em figurinha do bolsonaro, mds pic.twitter.com/lQT1mtarKR;
Amoêdo elogia ideias liberais de economista de Bolsonaro https://noticias.r7.com/eleicoes-2018/amoedo-elogia-ideias-liberais-de-economista-de-bolsonaro-09102018 …;
Esperando uma mega reportagem sobre a última semana do Bolsonaro no JN...;
Se bolsonaro ganhar imagina como vai tá aqui na união hahahaha # fe;
Ibope entrega: BOLSONARO será ELEITO! E não deve haver fraude!!! Ufa... https://www.youtube.com/attribution_link?a=wW0-Pl92BKM&u=%2Fwatch%3Fv%3DaUfiPXiOYdU%26feature%3Dshare …;
bolsonaro quer seu voto para eliminar a corrupção e cortar dinheiro público indo para vermes via lei rouanet! fora corruptos! ptNuncaMais!;
A MAIOR MANIFESTAÇÃO DE APOIO À BOLSONARO JÁ VISTA NO BRASIL. CANINDÉ CE https://www.youtube.com/attribution_link?a=b4UHk86Og5Q&u=%2Fwatch%3Fv%3DMitiFhCRZXc%26feature%3Dshare …;
Kkkk nossa Felipe Neto vc que fez vídeo falando de fake news acredita que Bolsonaro é corrupto kkkkkkk aí man cada coisa que me aparece;
ViravotoHaddad, vai disputar a vereança. @ jairbolsonaro novo presidente do Brasil. Viva a liberdade de dizer não ao que não aceitamos. # AcabouaPiranhagemPT Adeus corruptos, bandidos e tudo que não presta.;
Com dois litros de sangue Bolsonaro se declara Juizforano e Mineiro da Gema!! Portanto nessas eleições vote em um Juizforano!! https://www.instagram.com/p/BpdLBUvFkBh/?utm_source=ig_twitter_share&igshid=1wh75jojqpn13 …;
Tem que fazer um vídeo só daqueles que vão embora do Brasil quando @ jairbolsonaro ganhar;
REDE GLOBO FAZENDO SUPER COBERTURA PARA O HADDAD.....!! DARÃO O MESMO TEMPO PARA O BOLSONARO ??;
